carat,cut,cut_rank,color,color_rank,clarity,clarity_rank,depth_pct,table_mm,price_usd,length_mm,width_mm,depth_mm,region
0.24,Ideal,1,G,4,VVS1,2,62.1,56.0,643.0,3.97,4.0,2.47,region2
0.58,Very Good,3,F,3,VVS2,3,60.0,57.0,2311.0,5.44,5.42,3.26,region3
0.4,Ideal,1,E,2,VVS2,3,62.1,55.0,1300.0,4.76,4.74,2.95,region3
0.43,Premium,2,E,2,VVS2,3,60.8,57.0,1174.0,4.92,4.89,2.98,region4
1.55,Ideal,1,E,2,SI2,7,62.3,55.0,7936.0,7.44,7.37,4.61,region2
1.0,Fair,5,E,2,SI2,7,55.4,62.0,3914.0,6.63,6.59,3.66,region1
0.51,Ideal,1,F,3,VS1,4,60.2,56.0,2030.0,5.22,5.24,3.15,region2
0.52,Ideal,1,D,1,VS2,5,62.0,56.0,2183.0,5.17,5.19,3.21,region1
0.62,Premium,2,E,2,VS2,5,60.0,59.0,2733.0,5.58,5.56,3.34,region1
1.14,Ideal,1,H,5,SI1,6,60.3,57.0,6226.0,6.79,6.85,4.11,region1
0.4,Ideal,1,D,1,SI2,7,62.8,56.0,1112.0,4.73,4.7,2.96,region1
1.83,Very Good,3,E,2,SI2,7,62.8,56.0,15104.0,7.76,7.82,4.89,region2
0.6,Fair,5,F,3,SI1,6,55.3,63.0,1230.0,5.67,5.61,3.12,region4
0.7,Very Good,3,F,3,SI1,6,63.5,56.0,2161.0,5.58,5.66,3.57,region4
0.53,Good,4,H,5,IF,1,61.2,65.0,1656.0,5.16,5.27,3.19,region2
1.55,Ideal,1,I,6,VS1,4,61.2,55.0,13372.0,7.49,7.47,4.58,region1
0.98,Fair,5,F,3,SI2,7,61.6,66.0,3402.0,6.46,6.24,3.92,region2
0.4,Ideal,1,E,2,VVS1,2,62.6,56.0,1816.0,4.73,4.7,2.95,region1
1.5,Very Good,3,F,3,SI1,6,62.8,56.0,10399.0,7.26,7.33,4.58,region3
0.35,Very Good,3,I,6,VS1,4,60.7,62.0,718.0,4.53,4.59,2.77,region1
2.07,Premium,2,I,6,VS2,5,61.2,58.0,20922.0,8.18,8.2,5.01,region2
0.4,Premium,2,E,2,SI1,6,60.9,60.0,850.0,4.77,4.75,2.9,region4
0.31,Ideal,1,F,3,VS2,5,61.9,55.0,719.0,4.31,4.35,2.68,region2
0.3,Ideal,1,H,5,VVS2,3,61.7,54.2,726.0,4.32,4.35,2.67,region2
0.91,Ideal,1,H,5,SI2,7,60.6,57.0,4047.0,6.3,6.26,3.81,region3
0.53,Ideal,1,E,2,SI1,6,61.4,56.0,1486.0,5.21,5.24,3.21,region3
0.34,Ideal,1,E,2,VS1,4,60.8,57.0,1188.0,4.53,4.49,2.74,region2
2.02,Ideal,1,F,3,SI2,7,62.7,57.0,17489.0,8.07,7.93,5.03,region1
1.04,Ideal,1,D,1,VS1,4,59.1,56.0,7507.0,6.65,6.59,3.91,region4
0.23,Ideal,1,F,3,VS2,5,61.8,55.0,567.0,3.93,3.96,2.43,region2
1.01,Ideal,1,F,3,SI2,7,62.5,55.0,5078.0,6.39,6.4,4.0,region2
0.54,Premium,2,E,2,SI1,6,61.4,60.0,1635.0,5.21,5.25,3.21,region2
2.01,Very Good,3,J,7,SI1,6,63.4,57.0,13301.0,7.97,7.89,5.03,region2
0.51,Good,4,G,4,VVS2,3,63.3,58.0,1620.0,5.04,5.07,3.2,region4
0.5,Very Good,3,F,3,VVS2,3,62.8,55.0,2261.0,5.0,5.13,3.18,region3
0.3,Ideal,1,J,7,VS1,4,62.6,53.0,392.0,4.28,4.32,2.69,region3
0.3,Ideal,1,F,3,VS2,5,60.9,56.0,1009.0,4.35,4.32,2.64,region1
0.5,Very Good,3,G,4,VVS1,2,63.3,53.0,2450.0,5.06,5.09,3.21,region1
0.51,Very Good,3,G,4,VVS2,3,63.1,58.0,2073.0,5.11,5.07,3.21,region3
2.09,Premium,2,H,5,VS2,5,62.2,58.0,16599.0,8.17,8.12,5.06,region4
0.62,Ideal,1,G,4,VS1,4,60.7,55.0,1985.0,5.55,5.59,3.38,region4
0.53,Very Good,3,D,1,SI1,6,60.0,59.8,2241.0,5.25,5.26,3.15,region1
0.4,Premium,2,E,2,SI2,7,61.4,59.0,770.0,4.75,4.7,2.9,region4
2.0,Very Good,3,H,5,SI1,6,62.2,57.0,20468.0,7.97,8.08,4.99,region1
0.7,Ideal,1,E,2,VS1,4,62.7,57.0,3167.0,5.65,5.7,3.56,region3
0.42,Good,4,F,3,SI1,6,63.1,56.0,830.0,4.79,4.82,3.03,region2
1.6,Ideal,1,F,3,SI1,6,61.0,57.0,11584.0,7.54,7.6,4.62,region4
1.5,Premium,2,F,3,SI1,6,61.4,59.0,10429.0,7.34,7.31,4.5,region4
2.52,Good,4,G,4,SI2,7,63.7,59.0,18488.0,8.57,8.52,5.44,region3
1.35,Very Good,3,H,5,VS2,5,62.3,57.0,6794.0,7.06,7.12,4.42,region4
0.33,Ideal,1,G,4,IF,1,61.9,56.0,1064.0,4.43,4.47,2.75,region2
1.41,Good,4,H,5,VS2,5,63.8,60.0,8179.0,7.04,7.12,4.52,region4
0.78,Ideal,1,D,1,SI2,7,61.4,57.0,4490.0,5.91,5.94,3.64,region1
1.01,Very Good,3,G,4,VS1,4,58.8,58.0,7116.0,6.52,6.61,3.86,region3
0.9,Very Good,3,H,5,VVS2,3,61.8,60.0,4155.0,6.11,6.15,3.79,region4
1.23,Ideal,1,J,7,VS2,5,61.2,57.0,5414.0,6.93,6.88,4.23,region4
0.9,Premium,2,G,4,VS2,5,62.0,60.0,5378.0,6.19,6.14,3.82,region1
0.31,Very Good,3,I,6,VS2,5,62.3,57.0,392.0,4.32,4.35,2.7,region4
0.91,Good,4,F,3,SI1,6,63.7,58.0,3532.0,6.09,6.02,3.86,region4
0.56,Ideal,1,F,3,VS2,5,60.8,56.0,1867.0,5.33,5.3,3.23,region3
0.91,Premium,2,E,2,I1,8,59.6,59.0,2587.0,6.29,6.32,3.76,region3
0.3,Very Good,3,E,2,VVS2,3,62.4,57.0,683.0,4.28,4.31,2.68,region4
2.18,Premium,2,J,7,VS2,5,60.1,58.0,20104.0,8.46,8.41,5.07,region1
1.06,Premium,2,I,6,SI2,7,61.5,57.0,3858.0,6.57,6.49,4.02,region1
0.3,Ideal,1,F,3,VVS1,2,62.1,55.0,911.0,4.31,4.32,2.68,region3
0.32,Ideal,1,E,2,SI1,6,62.2,54.0,593.0,4.38,4.4,2.73,region2
0.68,Premium,2,F,3,VVS2,3,61.7,57.0,2569.0,5.67,5.64,3.49,region4
0.53,Ideal,1,G,4,VS1,4,62.7,55.0,2085.0,5.18,5.16,3.24,region2
0.51,Ideal,1,G,4,VS1,4,62.7,56.0,2153.0,5.08,5.1,3.19,region1
0.64,Ideal,1,F,3,VVS2,3,60.9,56.0,4182.0,5.57,5.59,3.4,region1
1.05,Ideal,1,J,7,SI2,7,61.3,56.0,5019.0,6.56,6.59,4.03,region2
0.33,Very Good,3,H,5,VS2,5,62.8,59.0,469.0,4.38,4.44,2.77,region4
1.07,Premium,2,G,4,SI2,7,62.1,59.0,5272.0,6.54,6.48,4.04,region2
2.02,Premium,2,E,2,SI2,7,59.9,58.0,12309.0,8.18,8.14,4.89,region4
0.53,Ideal,1,F,3,SI2,7,63.0,54.0,1471.0,5.24,5.19,3.29,region2
0.39,Premium,2,E,2,VS1,4,59.6,60.0,1077.0,4.72,4.75,2.82,region3
2.1,Premium,2,I,6,VS2,5,60.7,61.0,18712.0,8.28,8.27,5.02,region1
0.7,Premium,2,F,3,VS1,4,61.7,60.0,3470.0,5.67,5.64,3.49,region1
1.51,Very Good,3,G,4,SI1,6,61.5,54.0,14231.0,7.35,7.42,4.54,region1
1.51,Premium,2,E,2,SI2,7,60.6,59.0,12155.0,7.47,7.41,4.51,region2
0.4,Premium,2,D,1,SI2,7,61.9,58.0,898.0,4.73,4.71,2.92,region3
0.3,Ideal,1,G,4,VVS1,2,61.4,56.0,774.0,4.32,4.34,2.66,region3
0.5,Ideal,1,E,2,VS1,4,61.9,54.1,2287.0,5.09,5.15,3.17,region1
0.33,Good,4,G,4,IF,1,57.9,60.0,1210.0,4.57,4.55,2.64,region2
1.14,Premium,2,J,7,SI2,7,60.4,59.0,4054.0,6.8,6.74,4.09,region3
0.41,Ideal,1,E,2,VS1,4,62.7,57.0,1403.0,4.72,4.76,2.97,region1
0.28,Premium,2,E,2,VVS2,3,60.1,59.0,678.0,4.22,4.26,2.55,region3
0.78,Ideal,1,F,3,SI2,7,59.7,57.0,3160.0,6.01,5.98,3.58,region1
1.7,Premium,2,I,6,VS2,5,62.2,58.0,10699.0,7.65,7.6,4.74,region4
0.6,Ideal,1,G,4,IF,1,62.0,55.0,2698.0,5.39,5.44,3.36,region3
1.09,Ideal,1,E,2,SI1,6,61.8,55.0,7191.0,6.65,6.58,4.09,region3
0.81,Ideal,1,E,2,SI2,7,61.4,57.0,3074.0,6.0,5.97,3.68,region2
0.5,Very Good,3,G,4,VS1,4,61.9,59.0,1843.0,5.06,5.08,3.14,region2
0.9,Ideal,1,J,7,SI1,6,62.6,54.0,2792.0,6.16,6.23,3.88,region4
1.01,Very Good,3,E,2,SI1,6,62.8,57.0,4870.0,6.35,6.39,4.0,region4
0.23,Very Good,3,E,2,VVS1,2,61.1,60.0,556.0,3.95,4.01,2.43,region3
0.41,Premium,2,E,2,SI2,7,61.7,58.0,1001.0,4.8,4.76,2.95,region3
0.42,Ideal,1,G,4,VVS2,3,62.4,55.0,993.0,4.82,4.79,3.0,region4
1.03,Fair,5,G,4,SI1,6,64.7,63.0,4645.0,6.36,6.31,4.1,region3
0.5,Good,4,G,4,VVS2,3,63.8,56.0,2230.0,5.03,5.06,3.22,region1
0.35,Ideal,1,E,2,VS2,5,63.5,54.0,830.0,4.48,4.43,2.83,region2
1.01,Very Good,3,G,4,SI1,6,63.3,57.0,4813.0,6.37,6.35,4.02,region2
0.54,Good,4,F,3,VS1,4,63.7,55.0,2194.0,5.16,5.11,3.27,region3
1.09,Ideal,1,F,3,SI2,7,62.0,56.0,6898.0,6.62,6.58,4.09,region1
0.31,Good,4,D,1,SI2,7,63.9,57.0,485.0,4.28,4.33,2.75,region3
1.55,Premium,2,D,1,VS2,5,61.5,58.0,20788.0,7.48,7.51,4.61,region1
0.31,Ideal,1,D,1,SI1,6,61.7,55.0,734.0,4.37,4.41,2.71,region1
0.41,Ideal,1,E,2,VS2,5,62.1,56.0,982.0,4.74,4.76,2.95,region3
0.42,Very Good,3,H,5,VVS2,3,62.9,56.0,967.0,4.75,4.79,3.0,region3
0.25,Ideal,1,G,4,VS1,4,62.3,54.0,504.0,4.05,4.11,2.54,region2
1.12,Premium,2,I,6,SI1,6,60.8,57.0,4939.0,6.76,6.7,4.09,region3
0.33,Ideal,1,E,2,VS2,5,62.3,57.0,651.0,4.37,4.43,2.74,region4
0.44,Good,4,D,1,VVS1,2,59.2,57.0,2362.0,4.96,5.0,2.95,region3
0.7,Very Good,3,G,4,VS2,5,63.4,58.0,3039.0,5.63,5.57,3.55,region1
1.0,Good,4,D,1,SI1,6,65.1,54.0,6222.0,6.23,6.27,4.07,region1
1.01,Premium,2,H,5,VS2,5,61.5,59.0,6098.0,6.48,6.49,3.99,region2
1.7,Ideal,1,H,5,I1,8,62.6,54.0,8277.0,7.63,7.58,4.77,region2
1.0,Good,4,I,6,SI2,7,63.9,60.0,4504.0,6.26,6.3,4.01,region1
0.7,Ideal,1,G,4,VVS2,3,61.6,57.0,3911.0,5.74,5.71,3.53,region3
0.58,Ideal,1,F,3,VVS2,3,62.2,56.0,2634.0,5.32,5.35,3.32,region3
1.11,Ideal,1,H,5,SI1,6,61.6,56.0,6274.0,6.69,6.65,4.11,region2
1.74,Very Good,3,G,4,VS2,5,62.9,57.0,16977.0,7.64,7.68,4.82,region3
1.02,Ideal,1,F,3,VVS2,3,62.3,58.0,8638.0,6.42,6.45,4.01,region4
1.6,Ideal,1,I,6,SI1,6,62.0,55.0,10782.0,7.53,7.59,4.69,region2
0.24,Ideal,1,F,3,VS2,5,62.2,57.0,440.0,3.96,4.01,2.48,region3
0.42,Good,4,I,6,VVS1,2,59.2,61.0,910.0,4.88,4.91,2.9,region3
0.3,Ideal,1,H,5,VS1,4,62.5,56.0,709.0,4.27,4.24,2.66,region3
0.37,Ideal,1,G,4,IF,1,62.4,56.0,1188.0,4.6,4.64,2.88,region2
0.42,Good,4,H,5,SI1,6,63.2,58.0,735.0,4.77,4.79,3.02,region3
1.0,Good,4,E,2,SI2,7,63.5,54.0,4620.0,6.35,6.41,4.05,region3
0.24,Very Good,3,E,2,VVS2,3,62.5,58.0,558.0,3.96,4.01,2.49,region2
1.02,Ideal,1,J,7,VS2,5,62.0,56.0,4709.0,6.42,6.45,3.99,region3
0.4,Ideal,1,G,4,VVS1,2,62.4,54.0,939.0,4.73,4.75,2.96,region4
0.32,Very Good,3,F,3,VS2,5,63.0,57.0,632.0,4.33,4.37,2.74,region3
0.31,Ideal,1,E,2,IF,1,61.9,56.0,1219.0,4.35,4.37,2.7,region2
0.32,Ideal,1,H,5,VS2,5,62.1,56.0,530.0,4.37,4.42,2.73,region3
0.43,Ideal,1,F,3,VVS2,3,61.9,56.0,1312.0,4.87,4.82,3.0,region3
1.06,Premium,2,F,3,SI1,6,61.9,59.0,3740.0,6.57,6.52,4.05,region4
0.57,Very Good,3,G,4,SI1,6,61.1,57.0,1863.0,5.32,5.35,3.26,region1
1.0,Premium,2,H,5,I1,8,60.4,61.0,2512.0,6.39,6.32,3.84,region1
1.0,Premium,2,E,2,VS1,4,60.4,59.0,6970.0,6.51,6.54,3.94,region4
0.8,Fair,5,G,4,SI2,7,67.1,56.0,2520.0,5.76,5.73,3.85,region3
0.31,Very Good,3,G,4,VS1,4,63.1,59.0,722.0,4.29,4.27,2.7,region4
2.03,Premium,2,H,5,I1,8,59.4,59.0,9647.0,8.31,8.22,4.91,region1
1.11,Ideal,1,H,5,SI2,7,62.7,57.0,5265.0,6.59,6.66,4.14,region2
0.25,Very Good,3,G,4,VVS1,2,61.7,56.0,551.0,4.07,4.09,2.51,region3
1.02,Premium,2,E,2,SI1,6,62.8,58.0,6243.0,6.45,6.39,4.03,region2
1.54,Premium,2,F,3,SI1,6,60.9,59.0,10707.0,7.56,7.46,4.57,region4
0.33,Ideal,1,D,1,VS2,5,62.1,55.0,1015.0,4.43,4.46,2.76,region1
0.39,Premium,2,F,3,VVS1,2,62.7,57.0,1677.0,4.68,4.64,2.92,region1
1.27,Ideal,1,I,6,VS1,4,62.8,57.0,5756.0,6.86,6.89,4.32,region4
0.56,Premium,2,E,2,VS2,5,61.4,61.0,1724.0,5.31,5.28,3.25,region4
2.01,Ideal,1,H,5,SI2,7,60.1,57.0,17896.0,8.24,8.2,4.94,region2
0.33,Ideal,1,G,4,IF,1,61.9,54.0,1368.0,4.46,4.42,2.75,region1
0.72,Premium,2,D,1,VS2,5,61.0,59.0,2449.0,5.77,5.74,3.51,region4
0.33,Ideal,1,E,2,VS2,5,62.3,56.0,831.0,4.46,4.47,2.78,region2
0.81,Ideal,1,I,6,VS2,5,61.8,56.0,2645.0,6.02,5.99,3.71,region4
0.81,Fair,5,I,6,VS1,4,66.5,53.0,2986.0,5.76,5.83,3.86,region1
1.31,Ideal,1,G,4,VVS2,3,60.3,56.0,15143.0,7.09,7.15,4.29,region2
1.58,Premium,2,F,3,SI1,6,61.4,61.0,11261.0,7.48,7.45,4.58,region4
1.23,Ideal,1,H,5,SI1,6,61.0,56.0,7405.0,6.96,6.92,4.23,region2
2.01,Premium,2,J,7,VS2,5,58.6,61.0,9361.0,8.18,8.14,4.78,region4
0.41,Good,4,E,2,VVS1,2,60.4,61.0,1520.0,4.76,4.81,2.89,region1
0.52,Ideal,1,F,3,VS1,4,61.3,56.0,2760.0,5.19,5.22,3.19,region1
0.55,Ideal,1,H,5,VVS2,3,60.7,55.0,1751.0,5.32,5.34,3.24,region3
1.05,Premium,2,E,2,SI1,6,61.2,58.0,5705.0,6.57,6.53,4.01,region3
1.06,Very Good,3,G,4,I1,8,60.7,63.0,1872.0,6.59,6.56,3.99,region4
1.0,Premium,2,H,5,SI1,6,62.7,60.0,5810.0,6.3,6.24,3.93,region1
1.0,Ideal,1,I,6,SI1,6,62.8,56.0,4449.0,6.33,6.38,3.99,region3
0.34,Premium,2,F,3,VS2,5,59.2,60.0,892.0,4.56,4.6,2.71,region1
1.54,Ideal,1,I,6,SI2,7,62.0,59.0,9492.0,7.33,7.38,4.56,region2
1.47,Very Good,3,G,4,VS2,5,62.7,56.0,14378.0,7.15,7.18,4.49,region1
0.55,Ideal,1,E,2,SI1,6,61.4,55.0,1918.0,5.29,5.26,3.24,region2
1.08,Ideal,1,G,4,VS2,5,62.3,54.0,8265.0,6.59,6.61,4.11,region2
1.09,Very Good,3,F,3,VS1,4,62.9,58.0,8738.0,6.51,6.55,4.11,region2
0.3,Ideal,1,F,3,IF,1,62.1,57.0,1152.0,4.27,4.3,2.66,region1
0.9,Ideal,1,J,7,VS1,4,62.5,55.0,4128.0,6.18,6.14,3.85,region1
0.37,Good,4,D,1,VS1,4,62.1,54.0,949.0,4.67,4.73,2.92,region2
0.35,Very Good,3,H,5,SI1,6,63.2,57.0,679.0,4.51,4.48,2.84,region3
0.81,Ideal,1,H,5,SI1,6,62.3,58.0,3099.0,5.95,5.96,3.71,region3
0.24,Very Good,3,F,3,VVS2,3,61.8,56.0,638.0,4.01,4.04,2.48,region3
0.42,Ideal,1,F,3,SI1,6,61.5,55.0,1071.0,4.82,4.84,2.97,region2
0.35,Ideal,1,F,3,VS2,5,62.4,57.0,1042.0,4.51,4.5,2.81,region2
0.74,Good,4,F,3,SI2,7,59.3,61.0,1971.0,5.87,5.97,3.51,region4
0.3,Very Good,3,G,4,VVS2,3,61.3,58.0,718.0,4.28,4.34,2.64,region3
0.64,Very Good,3,E,2,VS2,5,63.4,54.0,2431.0,5.52,5.49,3.49,region2
0.85,Good,4,G,4,SI1,6,64.9,56.0,2650.0,5.95,5.98,3.87,region4
0.3,Premium,2,E,2,IF,1,60.1,60.0,1426.0,4.32,4.3,2.59,region1
0.29,Very Good,3,H,5,VVS1,2,62.0,55.0,430.0,4.24,4.27,2.64,region4
0.41,Ideal,1,E,2,VS1,4,61.7,57.0,971.0,4.76,4.8,2.95,region4
1.51,Fair,5,H,5,SI2,7,64.5,59.0,7235.0,7.21,7.15,4.63,region2
0.6,Ideal,1,G,4,SI2,7,59.1,56.0,1625.0,5.58,5.52,3.28,region1
0.3,Ideal,1,F,3,VS2,5,61.9,55.0,786.0,4.31,4.32,2.67,region1
1.09,Ideal,1,E,2,VVS2,3,61.6,56.0,10830.0,6.6,6.64,4.08,region3
2.01,Premium,2,I,6,SI1,6,60.1,59.0,15490.0,8.21,8.15,4.92,region3
1.26,Premium,2,H,5,SI1,6,62.2,58.0,7664.0,6.93,6.87,4.29,region2
0.41,Good,4,E,2,SI1,6,63.9,58.0,680.0,4.7,4.72,3.01,region4
0.9,Very Good,3,E,2,SI1,6,61.4,56.0,4848.0,6.19,6.23,3.81,region4
1.0,Premium,2,F,3,VVS2,3,60.6,54.0,11601.0,6.56,6.52,3.96,region1
1.0,Very Good,3,E,2,SI1,6,62.1,57.0,5594.0,6.35,6.4,3.96,region2
0.4,Ideal,1,D,1,SI1,6,62.1,56.0,695.0,4.7,4.74,2.93,region4
1.14,Very Good,3,H,5,VS2,5,59.9,57.0,4548.0,6.78,6.81,4.07,region4
0.38,Very Good,3,F,3,VVS1,2,63.8,58.0,1082.0,4.58,4.61,2.93,region3
0.7,Very Good,3,H,5,VS2,5,63.0,55.4,2639.0,5.67,5.7,3.58,region3
0.36,Premium,2,G,4,VS1,4,61.2,60.0,979.0,4.59,4.56,2.8,region3
0.8,Premium,2,E,2,SI1,6,62.9,60.0,3555.0,5.89,5.87,3.7,region2
0.55,Premium,2,E,2,VS2,5,60.5,58.0,1875.0,5.26,5.32,3.2,region3
0.92,Premium,2,E,2,SI2,7,61.8,59.0,4231.0,6.19,6.11,3.8,region2
0.4,Good,4,E,2,SI1,6,63.3,56.0,721.0,4.68,4.74,2.98,region3
1.04,Premium,2,G,4,SI1,6,60.3,58.0,3402.0,6.6,6.55,3.96,region4
0.35,Ideal,1,E,2,VS2,5,62.2,56.0,1279.0,4.53,4.51,2.81,region1
2.11,Very Good,3,I,6,VS2,5,60.3,60.5,18817.0,8.22,8.29,4.98,region2
1.5,Very Good,3,H,5,VS2,5,60.7,61.0,9922.0,7.34,7.41,4.48,region4
0.9,Very Good,3,E,2,SI2,7,62.2,54.0,3901.0,6.13,6.21,3.84,region3
0.41,Ideal,1,E,2,VVS2,3,61.5,55.0,1365.0,4.79,4.83,2.96,region2
0.5,Premium,2,E,2,SI1,6,62.2,58.0,1395.0,5.03,4.87,3.1,region1
